candidate,single_score,with_base_set,improvement,best_pair_with,best_pair_score
bar5s_flow_add_vol_ask_p2_3_sum,0.39095744680851063,0.4175531914893617,-0.03457446808510639,bar5s_setup_min_dist_pts,0.4175531914893617
bar5s_deriv_dask10_d2_w36,0.4228723404255319,0.4175531914893617,-0.03457446808510639,bar5s_setup_min_dist_pts,0.4175531914893617
bar5s_cumul_flow_imbal,0.2898936170212766,0.4175531914893617,-0.03457446808510639,bar5s_setup_min_dist_pts,0.4175531914893617
bar5s_setup_total_trade_vol,0.39361702127659576,0.4175531914893617,-0.03457446808510639,bar5s_setup_min_dist_pts,0.4175531914893617
bar5s_deriv_obi10_d2_w3,0.13297872340425532,0.4175531914893617,-0.03457446808510639,bar5s_setup_min_dist_pts,0.4175531914893617
bar5s_deriv_dist_d2_w12,0.13829787234042554,0.4175531914893617,-0.03457446808510639,bar5s_setup_min_dist_pts,0.4175531914893617
bar5s_flow_rem_vol_ask_p2_3_sum,0.3617021276595745,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_shape_bid_sz_l06_eob,0.4148936170212766,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_deriv_obi0_d2_w72,0.31648936170212766,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_flow_cnt_add_bid_p2_3_sum,0.3377659574468085,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_shape_ask_sz_l08_eob,0.4228723404255319,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_lvl_flow_toward_away_imbal_sum,0.2898936170212766,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_state_cdi_p1_2_twa,0.2154255319148936,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_state_spread_pts_twa,0.425531914893617,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
signed_dist_pts,0.3271276595744681,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_depth_below_p1_2_frac_twa,0.31117021276595747,0.4148936170212766,-0.037234042553191515,bar5s_setup_min_dist_pts,0.4148936170212766
bar5s_cumul_flow_net_bid,0.4228723404255319,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_lvl_depth_band_beyond2_qty_eob,0.39361702127659576,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_lvl_cdi_p0_1_eob,0.4228723404255319,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_setup_obi0_max,0.35904255319148937,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_flow_add_vol_ask_p1_2_sum,0.4228723404255319,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_state_cdi_p0_1_twa,0.4228723404255319,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_deriv_dabove01_d2_w36,0.3058510638297872,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_setup_obi0_end,0.23404255319148937,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_depth_above_p2_3_frac_twa,0.4228723404255319,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_setup_total_signed_vol,0.3404255319148936,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_shape_bid_sz_frac_l07_eob,0.2898936170212766,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_deriv_dist_d1_w72,0.3271276595744681,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_deriv_wbidz_d2_w72,0.35106382978723405,0.4122340425531915,-0.039893617021276584,bar5s_setup_min_dist_pts,0.4122340425531915
bar5s_wall_ask_maxz_eob,0.26595744680851063,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_deriv_obi0_d1_w12,0.31117021276595747,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_shape_ask_sz_frac_l08_eob,0.4228723404255319,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
bar5s_shape_bid_sz_l02_eob,0.4228723404255319,0.4095744680851064,-0.04255319148936171,bar5s_setup_min_dist_pts,0.4095744680851064
