index,name,pearson_r,abs_pearson,spearman_r,f_stat,p_value,mutual_info,univariate_rank
69,bar5s_ladder_bid_gap_max_pts_eob,0.06703769798696264,0.06703769798696264,0.0555470357081989,2.3601357760328283,0.051496636592027044,0.0,36.0
195,bar5s_flow_cnt_cancel_bid_p0_1_sum,0.0662580501616403,0.0662580501616403,-0.006027179050792542,7.6702712086512435,4.0958664463559365e-06,0.009157851862628075,37.0
398,bar5s_setup_total_signed_vol,0.0661760930140503,0.0661760930140503,0.0596554007785489,2.867995959972569,0.022091723902045522,0.0244298382154855,38.0
158,bar5s_shape_bid_ct_frac_l07_eob,0.06524577366148522,0.06524577366148522,0.06412875068648895,1.428831154599876,0.22204445102360712,0.03449235590577571,39.0
363,bar5s_lvl_level_book_index_bid,-0.06507679461428276,0.06507679461428276,-0.014120532687202652,2.0208981341414756,0.0891694565641959,0.0,40.0
241,bar5s_deriv_dist_d2_w12,0.06500880411270163,0.06500880411270163,0.04093871785523429,1.6947473533161037,0.14868103456912463,0.031222942860123837,41.0
362,bar5s_lvl_level_is_visible,-0.06365209166493015,0.06365209166493015,-0.06027803139099664,0.6105911506466646,0.6550527069087171,0.0,42.0
359,bar5s_lvl_bid_size_at_level_eob,-0.06330575753641685,0.06330575753641685,-0.014151217801253698,2.022321473822954,0.08896726234861009,0.0036996582936721367,43.0
399,bar5s_setup_trade_imbal_pct,0.06295781594073556,0.06295781594073556,0.06761100236191954,1.6692554881254205,0.15461432313787002,0.026433359067996598,44.0
217,bar5s_trade_signed_vol_sum,0.06142576394529717,0.06142576394529717,0.036722324016832716,1.6927096138419675,0.14914755904628552,0.0,45.0
331,bar5s_cumul_flow_imbal,0.06061326623508418,0.06061326623508418,0.09832028762821028,1.0079667070358387,0.40209168708412846,0.005748549789147184,46.5
332,bar5s_cumul_flow_imbal_rate,0.06061326623508418,0.06061326623508418,0.09832028762821028,1.0079667070358374,0.40209168708412846,0.006243671060163436,46.5
426,rvol_flow_net_bid_ratio,0.06053085097280536,0.06053085097280536,0.030826172652400206,1.8635384037793832,0.11438045757658913,0.0,48.0
188,bar5s_flow_net_vol_ask_p2_3_sum,-0.06000825867609542,0.06000825867609542,-0.04648675468201348,2.213207568066581,0.06544257413043383,0.0006384427963128658,49.0
