Found 429 feature columns.
Feature                                            | Status                         | Min        | Max        | Mean       | % Zeros 
bar5s_shape_ask_ct_l03_eob                         | OK                             | 1.0000     | 10.0000    | 4.1686     | 0.0     
bar5s_shape_ask_ct_l04_eob                         | OK                             | 1.0000     | 10.0000    | 3.9166     | 0.0     
bar5s_shape_ask_ct_l05_eob                         | OK                             | 1.0000     | 10.0000    | 3.7610     | 0.0     
bar5s_shape_ask_ct_l06_eob                         | OK                             | 1.0000     | 10.0000    | 3.4601     | 0.0     
bar5s_shape_ask_ct_l07_eob                         | OK                             | 1.0000     | 9.0000     | 2.9579     | 0.0     
bar5s_shape_ask_ct_l08_eob                         | OK                             | 1.0000     | 9.0000     | 2.8325     | 0.0     
bar5s_shape_ask_ct_l09_eob                         | OK                             | 1.0000     | 9.0000     | 2.7628     | 0.0     
bar5s_shape_bid_sz_frac_l00_eob                    | OK                             | 0.0189     | 0.3333     | 0.0791     | 0.0     
bar5s_shape_bid_sz_frac_l01_eob                    | OK                             | 0.0333     | 0.2963     | 0.1246     | 0.0     
bar5s_shape_bid_sz_frac_l02_eob                    | OK                             | 0.0333     | 0.3810     | 0.1097     | 0.0     
bar5s_shape_bid_sz_frac_l03_eob                    | OK                             | 0.0333     | 0.3125     | 0.1096     | 0.0     
bar5s_shape_bid_sz_frac_l04_eob                    | OK                             | 0.0333     | 0.2812     | 0.1076     | 0.0     
bar5s_shape_bid_sz_frac_l05_eob                    | OK                             | 0.0333     | 0.3125     | 0.1056     | 0.0     
bar5s_shape_bid_sz_frac_l06_eob                    | OK                             | 0.0263     | 0.2979     | 0.0958     | 0.0     
bar5s_shape_bid_sz_frac_l07_eob                    | OK                             | 0.0256     | 0.3023     | 0.0917     | 0.0     
bar5s_shape_bid_sz_frac_l08_eob                    | OK                             | 0.0238     | 0.3191     | 0.0892     | 0.0     
bar5s_shape_bid_sz_frac_l09_eob                    | OK                             | 0.0250     | 0.3137     | 0.0871     | 0.0     
bar5s_shape_ask_sz_frac_l00_eob                    | OK                             | 0.0182     | 0.3684     | 0.0843     | 0.0     
bar5s_shape_ask_sz_frac_l01_eob                    | OK                             | 0.0370     | 0.4091     | 0.1377     | 0.0     
bar5s_shape_ask_sz_frac_l02_eob                    | OK                             | 0.0256     | 0.4865     | 0.1152     | 0.0     
bar5s_shape_ask_sz_frac_l03_eob                    | OK                             | 0.0333     | 0.4722     | 0.1164     | 0.0     
bar5s_shape_ask_sz_frac_l04_eob                    | OK                             | 0.0222     | 0.3488     | 0.1064     | 0.0     
bar5s_shape_ask_sz_frac_l05_eob                    | OK                             | 0.0256     | 0.3333     | 0.1006     | 0.0     
bar5s_shape_ask_sz_frac_l06_eob                    | OK                             | 0.0250     | 0.3333     | 0.0952     | 0.0     
bar5s_shape_ask_sz_frac_l07_eob                    | OK                             | 0.0217     | 0.3261     | 0.0814     | 0.0     
bar5s_shape_ask_sz_frac_l08_eob                    | OK                             | 0.0227     | 0.3455     | 0.0813     | 0.0     
bar5s_shape_ask_sz_frac_l09_eob                    | OK                             | 0.0213     | 0.3065     | 0.0815     | 0.0     
bar5s_shape_bid_ct_frac_l00_eob                    | OK                             | 0.0217     | 0.2667     | 0.0805     | 0.0     
bar5s_shape_bid_ct_frac_l01_eob                    | OK                             | 0.0465     | 0.2381     | 0.1270     | 0.0     
bar5s_shape_bid_ct_frac_l02_eob                    | OK                             | 0.0455     | 0.2381     | 0.1112     | 0.0     
bar5s_shape_bid_ct_frac_l03_eob                    | OK                             | 0.0465     | 0.2500     | 0.1102     | 0.0     
bar5s_shape_bid_ct_frac_l04_eob                    | OK                             | 0.0526     | 0.2308     | 0.1087     | 0.0     
bar5s_shape_bid_ct_frac_l05_eob                    | OK                             | 0.0333     | 0.2500     | 0.1055     | 0.0     
